"id","glk_word","glk_example","fa_word","fa_example","en_word","en_example"
401,"دۊجا بۊگۊئي","دۊجا بۊگۊئي خؤرم کار ني-يه","خبرچینی","خبرچینى کار خوبى نیست","Tittle-Tattle","Tittle-tattle isn't a good thing"
402,"دۊجۊل دۊجۊل","دۊجۊل دۊجۊل خوردن دره","دو لپى","دولپى دارد مى‌خورد","Eating With a Full Mouth","He/She is eating with a full mouth"
403,"دۊخادن","کي مرأ دۊخاده؟","صدا کردن","چه کسى من را صدا زد؟","Call","Who called me?"
404,"دۊرۊس","شۊمان دۊرۊس فرمائيدي","درست","شما درست مى‌فرمایید","Right","You're right"
405,"دۊرۊسته","أنأ هأتؤ دۊرۊسته أنˇ جأ سر بنه","کامل","این را همین‌طور کامل سر جایش بگذار","Complete","Put it back completely"
406,"دۊرۊن","خۊ اۊتاقˇ دۊرۊن ايسأ","داخل","داخل اتاقش است","Inside","He/She is inside his/her room"
407,"دۊم","لانتي خۊ دۊمأ گرکه بۊکۊد","دم","مار دم‌اش را به دور خودش حلقه زد","Tail","The snake wrapped its tail around itself"
408,"دۊماغ","مي دۊماغ خارش کۊنه","بینى","بینى‌ام مى‌خارد","Nose","My nose itches"
409,"دۊمبالسر","اۊ ری کيسه أمي دۊمبالسر أمؤن دره؟","پشت سر","آن پسر کیست دارد پشت سر ما مى‌آید؟","Behind","Who's that boy coming behind us?"
410,"دۊمرتبه","دۊمرتبه وأگردم بخانه","دوباره","دوباره به منزل برمی‌گردم","Again","I'll come back home again"
411,"دۊنبۊ","پينير جا ميان پينير دۊنبۊ","نبود","پنیر داخل ظرف پنیر نبود","Wasn't","There wasn't any cheese in the dish"
412,"دۊنيا","أ زاکان دۊنيايأ چأکۊنيدي","جهان","این بچه‌ها جهان را مى‌سازند","The World","These kids will build the world"
413,"دۊواره","دۊواره بۊگۊ","دوباره","دوباره بگو","Again","Say that again"
414,"دۊچکان","أشانأ چسبˇ چۊ مرأ دۊچکان","بچسبان","این‌ها را با چسب چوب بچسبان","Glue","Glue these with wood glue"
415,"دۊکان","مأمدˇ أمرأ بۊشۊ دۊکان","مغازه","با محمد به مغازه برو","Shop","Go to the shop with Mohammad"
416,"دۊکتۊر","خأيم بشم دۊکتۊر","دکتر","مى‌خواهم به دکتر بروم","Doctor","I want to go to the doctor"
417,"دۊکۊد","آسيه خۊ کافشينأ دۊکۊد","پوشید","آسیه کاپشن‌اش را پوشید","He/She Wore","Asiyeh wore her jacket"
418,"دۊکۊش","اۊ لامپأ دۊکۊش","خاموش کن","آن لامپ را خاموش کن","Turn It Off","Turn that lamp off"
419,"دۊکۊن","ته ره غذا دۊکۊن","بریز","برای خودت غذا بریز","Serve (Food)","Serve yourself some food"
420,"رؤجا","رؤجایانأ بيدين","ستاره","ستارگان را ببین","Star","Look at the stars"
421,"رئک","اۊ رئکأ بيده-ئي؟","پسر","آن پسر را دیدى؟","Boy","Did you see that boy?"
422,"رات","أنˇ مۊ راته","موی صاف","موى او صاف است","Straight Hair","His/Her hair is straight"
423,"رادˇوار","رادٚوارأ وأورس","رهگذر","از رهگذر بپرس","Passer-By","Ask the passer-by"
424,"راستأ کۊن","أ جابهˈنأ راستأکۊن بنه اۊرأ","بلند کن","این جعبه‌ها را بلند کن آن‌طرف بگذار","Lift","Lift these boxes and put them over there"
425,"راشي","هأ راشي-يأ بۊشۊ","جاده","همین جاده را برو","Road","Go to this road"
426,"رافا","تي رافا ايسم","منتظر","منتظر تو می‌مانم","Waiting","I'll wait for you"
427,"رج","أشانأ به رجأ کۊن","ردیف","این‌ها را به ردیف کن","Row","Put them in a row"
428,"رخشن","أمرأ رخشنأ گيفتي؟","مسخره","ما را مسخره مى‌کنى؟","Mock","Are you mocking us?"
429,"ره","أمه ره چي بأوردي؟","براى","براى ما چه آوردى؟","For","What did you bring for us?"
430,"ريفئق","مي ريفئق ٚ مرأ شؤن درم بيرۊن","رفیق","دارم با رفیقم به بیرون می‌روم","Friend","I'm going out with my friend"
431,"رچ","هأ رچأ بيگير بۊشۊ","ردپا","همین ردپا را بگیر برو","Footprint","Follow this footprint and go"
432,"رۊخان","رۊخانأ بيدئي؟","رودخانه","رودخانه را دیدی؟","River","Did you see the river?"
433,"رۊز","اي رۊز أيم ترأ دينم","روز","یک روز مى‌آیم تو را مى‌بینم","Day","One day I'll come to see you"
434,"زئن","زاکأنأ نوأسي زئن","زدن","بچه‌ها را نباید زد","Beating","Children should not be beaten"
435,"زاقۊت","زاقۊته","بسیار ترش","بسیار ترش است","Very Sour","It's very sour"
436,"زاما","تي زاما کؤيأ کار کۊنه؟","داماد","داماد تو کجا کار مى‌کند؟","Son in Law","Where does your son in low work?"
437,"زاکان","أمي زاکان دئه پيلهˈ بؤستد","بچه‌ها","بچه‌هاى ما دیگر بزرگ شدند","Children","Our children grew up"
438,"زرخ","زرخأ بؤسته خۊردن نشأ","تلخ","تلخ شده است نمی‌شود خورد","Bitter","It got bitter and can't be eaten"
439,"زرخ","مي پئر ديرۊ پۊر زرخ بۊ","عصبانی","پدرم دیروز بسیار عصبانى بود","Angry","My father was very angry yesterday"
440,"زن برار","تي زن برار أمي أمرأ أيه","برادر زن","برادر زنت با ما مى‌آید","Brother in Law (Wife's Brother)","Your brother in law coming with us"
441,"زن خاخۊر","مي زن خاخۊر ايران نئسأ","خواهرزن","خواهرزنم ایران نیست","Sister In Law (Husband's Sister)","My sister in law isn't in Iran"
442,"زن خاخۊرزا","تي زن خاخۊرزايأ بيدئم","خواهرزاده زن","خوارزاده زنت را دیدم","Wife's Nephew/Niece","I saw your wife's nephew"
443,"زن مأر","مي زن مأر بۊشؤ خۊ خاخۊر ٚ خانه","مادرزن","مادرزنم به خانه خواهرش رفته است","Mother in Law (Wife's Mother)","My mother in law went to her sister's house"
444,"زن پئر","مي زن پئر ٚ خانه هأ کۊچه دۊرۊنه","پدرزن","خانه پدرزنم داخل همین کوچه است","Father in Law (Wife's Father)","My father in law's house is in this alley"
445,"زنأى","أ زنأی دئه کيسه؟","زن","این زن دیگر کیست؟","Woman","Who is this woman?"
446,"زنجيل","وا ايتأ زنجيل بيهينم","زنجیر","باید یک زنجیر بخرم","Chain","I must buy a chain"
447,"زنخازي","مي برارˇ ره بۊشؤم زنخازي","خواستگارى","براى برادرم به خواستگارى رفتم","Propose (To a Woman)","I went to propose for my brother"
448,"زهار","ايوار ايوار نوأ تام زئن، وا زهار کۊدن","فریاد","گاهی اوقات نباید سکوت کرد، باید فریاد زد","Shout","Sometimes you shouldn't stay silent, you must shout"
449,"زواله","أسأ زواله خابˇ مؤقه-يه","بعدازظهر تابستان","اکنون وقت خواب بعدازظهر تابستان است","Summer Afternoon","It's time for a summer afternoon nap"
450,"زوان","گيلکي زوانه، لاجه ني-يه","زبان","گیلکى زبان است، لهجه نیست","Language","Gilaki is a language, it's not an accent"
451,"زيويستن","أن دئه چۊجۊر زيويستنه؟","زندگى کردن","این دیگر چه نوع زندگی کردن است؟","Living","What kind of living is this?"
452,"سئخ","سئخانأ کؤيأ بنأئي؟","سیخ","سیخ‌ها را کجا گذاشتی؟","Skewer","Where did you put the skewers?"
453,"ساج","تي ساجأ چأکۊن","زلف","مویت را درست کن","Hair","Fix your hair"
454,"ساق","أمي ناجه أن ٚ کي هميشک ساق بيبيد","سلامتى","آرزوی ما این است که همیشه سلامت باشید","Health","Our wish is that you always be healthy"
455,"سامان","کؤ سامان شؤن دريم؟","جا، مکان","به کجا مى‌رویم؟","Place","What place are we going to?"
456,"سانچؤ","جه وس هوا سرده سانچؤ زئن درم","سینه‌پهلو","از بس هوا سرد است داریم سینه‌پهلو می‌کنم","Pneumonia","It's too cold I'm getting pneumonia"
457,"سخت","همه-تا کاران سخته","سخت","تمام کارها سخت است","Difficult","All jobs are difficult"
458,"سختي أمؤن","مرأ سختي أيه بشم بيرۊن","تنبلى","تنبلى‌ام مى‌شود بیرون بروم","Feeling Lazy","I'm feeling lazy to go outside"
459,"سر","تي وسيلهٰنأ بنه ميز ٚ سر","روى","وسایل‌ات را روی میز بگذار","On","Put your stuff on the table"
460,"سر","تۊ کي سر ايسي؟","طرفدار","تو طرفدار چه کسى هستى؟","Side (Who)","Whose side are you on?"
461,"سرˇ کؤره","مي سرˇ کؤره مرأ در کۊنه","شقیقه","شقیقه‌ام درد مى‌کند","Temple","My temple hurts"
462,"سرأ جيري","أ سرأ جيري-يأ وا دٚواريم","شیب","از این شیب باید عبور کنیم","Downhill","We should cross this downhill"
463,"سرأ دن","مي سفارشانأ سرأ دن","ارسال کن","سفارش‌هایم را ارسال کن","Send","Send me my orders"
464,"سرأ دن","اۊ پيچأ زاکأ سرأدن","رها کن","آن بچه گربه را رها کن","Release","Release that kitten"
465,"سراکۊنأ","کيتابأ سراکۊنأ بيگيفتي","برعکس","کتاب را برعکس گرفتى","Upside Down","You're holding the book upside down"
466,"سربس","تي سربسأ بۊگۊ","منبع","منبع‌ات را بگو","Source","Tell me about your source"
467,"سربسر","مرأ سربسر نهأن نوأ","اذیت","من را اذیت نکن","Bother","Don't bother me"
468,"سربسر","هۊتؤ سربسر بنه","روى هم","همان‌طور روى هم بگذار","Overlay","Leave it overlay"
469,"سرد ٚ وا","سرد ٚ وا دمه","باد سرد","باد سرد می‌دمد","Cold Wind","Cold wind is blowing"
470,"سردي","بۊشۊ سردي-يأ بأور","نردبان","برو نردبان را بیاور","Ladder","Go bring the ladder"
471,"سرسۊم","سرسۊم کي بکفتي بزين ترأ حالي-يه","با سر افتادن","با سر که افتادى بعد متوجه مى‌شوى","Falling Over Your Head","You will understand when you fall over your head"
472,"سرفۊکؤ","هأى أمرأ سرفۊکؤ زنه","سرکوفت","مدام به ما سرکوفت مى‌زند","Rebuke","He/She rebukes us constantly"
473,"سرگمجي","زأکأن ٚ سرگمجي ره، أشانه کيتاب بخأنيد","سرگرم کردن","برای سرگرم کردن بچه‌ها، برای آن‌ها کتاب بخوانید","Entertain","To Entertain kids, read a book for them"
474,"سس","تي پلا چي ره سسه؟","بى‌نمک","براى چه پلوى تو بى‌نمک است؟","Tasteless (Without Any Salt)","Why is your rice tasteless?"
475,"سفيان","سفيان بۊکۊدم","ترس بسیار","بسیار ترسیدم","Very Scared","I was very scared"
476,"سلامال","مي سلاماله","هم سن","هم سن من است","The Same Age","He/She is the same age as me"
477,"سه لنگه","اۊ سه لنگه-يأ بأور","سه پایه","آن سه پایه را بیاور","Tripod","Bring me that tripod"
478,"سيا","مي سيا تۊمانأ بيدئي؟","سیاه","شلوار سیاه من را دیده‌ای؟","Black","Have you seen my black pants?"
479,"سيبيشکا","سيبيشکا خۊري؟","تخمه آفتابگردان","تخمه آفتابگردان می‌خوری؟","Sunflower Seed","Do you eat sunflower seeds?"
480,"سيفيد","اۊ سيفيدˇ کفشأ خأيم","سفید","آن کفش سفید را مى‌خواهم","White","I want those white shoes"
481,"سيوا","أشانأ سيوا بنه","جدا","این‌ها را جدا بگذار","Separated","keep these separated"
482,"سٚبٚج","تي سرأ سٚبٚجأ کۊده؟","شپش","سرت شپش کرده است؟","Lice","Did you get head lice?"
483,"سٚفره","سٚفره ٰ بۊشؤستم","سفره","سفره را شستم","Tablecloth","I washed the tablecloth"
484,"سٚند","تي سٚند چقده؟","سن","سن‌ات چه‌قدر است؟","Old (Age)","How old are you?"
485,"سٚودا","خليل بۊشؤ بازار سٚودا بۊکۊنه","معامله","خلیل به بازار رفت تا معامله کند","Trade","Khalil went to the bazaar to trade"
486,"سک","سکان پيچائانˇ وأسي لاب کۊديد","سگ","سگ‌ها به خاطر گربه‌ها پارس مى‌کردند","Dog","Dogs were barking because of cats"
487,"سۊ","بۊخاري سۊ زياده","شعله","شعله بخاری زیاد است","Flame","The flame of the heater is too high"
488,"سۊ","الا تي تي سۊ کۊنه","روشنایى","ماه روشنایی می‌دهد","Shine","The moon shines"
489,"سۊبۊل","ترأ سۊبۊلأ کۊده مگه؟","کک","مگر کک داری؟","Flea","Do you got flea?"
490,"سۊبۊک","أ کفش چندر سۊبۊکه","سبک","این کفش چه قدر سبک است","Light (Weight)","These shoes are so light"
491,"سۊج","مي گۊلي مرأ سۊج کۊنه","سوزش","گلویم می‌سوزد","Burning","My throat is burning"
492,"سۊج","هوا سۊج دأره","سوز","هوا سوز دارد","Burning Cold","The weather is burning cold"
493,"سۊرخ","أ سۊرخˇ پرهنأ دۊکۊن","قرمز","این پیراهن قرمز را بپوش","Red","Wear this red shirt"
494,"سۊستي","سۊستي کۊدن نوأ","تنبلى","تنبلى نکن","Lazy","Don't be lazy"
495,"سۊفته","تا هسأ سۊفته نۊکۊديم","دشت","تا حالا دشت نکردیم","First Sale of The Day","I didn't get my first sale of the day so far"
496,"سۊماپالان","کابينتˇ جأ سۊماپالانأ مرأ فأدن","آبکش","از داخل کابینت آبکش را به من بده","Colander","Give me the colander from the cabinet"
497,"سۊک","سردي-يأ سۊک بني کفه","عمودی","نردبان را عمودی بگذارى مى‌افتد","Vertically","If you put the ladder vertically it will fall"
498,"سۊکۊله","سۊکۊله کۊکۊره کۊ کۊدن دره","خروس","خروس قوقولی قوقو می‌کند","Rooster","Rooster is crowing"
499,"سۊکۊنج","سۊکۊنج سۊتأ کۊنج دره","مثلث","مثلث سه تا زاویه دارد","Triangle","Triangle has three angles"
500,"شأ","چي شأ کۊدن؟","مى‌شود","چه مى‌شود کرد؟","Can","What can be done?"
501,"شؤت","اۊ شؤتأ مرأ فأدن","فرچه","آن فرچه را به من بده","Brush","Give me the brush"
502,"شؤن","شؤنˇ مؤقه مرأ دۊخان","رفتن","هنگام رفتن صدایم کن","Go","Call me when it's time to go"
503,"شؤن أمؤن","أمي شؤن أمؤن خۊ جأ سر مأنه","رفت و آمد","رفت و آمد ما برقرار مى‌ماند","Commute","Our commute will stay like this"
504,"شال","شال دۊتا أمي کرکانأ ببرد","شغال","شغال دو عدد از مرغ‌های ما را برد","Jackal","The jackal took two of our chickens"
505,"شب","شب دکفته","شب","شب شده","Night","It's night"
506,"شباند ٚرۊز","نؤرۊزبل ٚ ره شباند ٚرۊز بيداريم","شب و روز","برای نوروزبل شب و روز بیدار هستیم","Day and Night","We're awake day and night for Nowruzbal"
507,"شل","چي ره شل شلکأ را شي؟","لنگ","براى چه لنگان لنگان راه مى‌روى؟","Limp","Why are you limping?"
508,"شلار","هأی خۊ گبأ شلار دأئي","کش دادن","مدام حرف‌اش را کش مى‌داد","Drag Out (Something)","He/She was constantly dragging out his/her words"
509,"شلله","مي پلا شلله بؤبؤ","خمیر شدن پلو","پلوى من خمیر شد","Mushy","My rice got mushy"
510,"شه","أيأ چقد گرمه، شه بزم","عرق","این‌جا چه‌قدر گرم است، عرق زدم","Sweat","It's too hot here, I sweat"
511,"شواله","تش شواله کشه","شعله","آتش شعله مى‌کشد","Flame","The fire is flaming"
512,"شيب","شيب بزن","سوت","سوت بزن","Whistle","Whistle"
513,"شيش","أمان شيش نفر بيم","شش","ما شش نفر بودیم","Six","We were six people"
514,"شيمي","اۊى سفر أمان بامؤئيم أى سفر شيمي نؤبه-يه","شما","دفعه پیش ما آمدیم این بار نوبت شماست","Your","We came last time now it's your turn"
515,"شکمدار","شکمدارˇ زناکانأ مأنه","حامله","مانند زن‌هاى حامله است","Pregnant","He/She looks like a pregnant woman"
516,"شۊتۊر","شۊتۊر بيابان ٚ مئن زيويسته","شتر","شتر در بیابان زندگی می‌کند","Camel","Camel lives in the desert"
517,"شۊرۊم","شۊرۊم بيگيفته","مه","مه گرفته است","Fog","It's foggy"
518,"شۊماره","سيرۊس قايقرانˇ شۊماره ۹ بۊ","شماره","شماره سیروس قایقران ۹ بود","Number","Siroos Ghayeghran's number was 9"
519,"شۊمان","شۊمان بيشيد","شما","شما بروید","You (Plural)","You go"
520,"صؤب","من صؤبان زۊد شم کارˇ سر","صبح","من صبح‌ها زود به سر کار مى‌روم","Morning","I go to work early in the morning"
521,"صبر","صبر بزه","عطسه","عطسه کرد","Sneeze","He/She sneezed"
522,"صۊندؤق","صۊندؤق ٚ دۊرۊن بنأم","صندوق","داخل صندق گذاشتم","Coffer","I put it inside the coffer"
523,"عأيدبيني","ايمسال کؤرؤنا وأسي عأيدبيني نأريم","عید دیدنى","امسال به خاطر کرونا عید دیدنى نداریم","Visiting People in the Eid","This year we don't visit family in the Eid because of Corona"
524,"عأينک","مي عأينکأ بيدئي؟","عینک","عینک من را دیده‌ای؟","Glasses","Have you seen my glasses?"
525,"عار ؤ مۊر","أنˇ عار ؤ مۊر بشکفته","غرور","غرورش شکست","Pride","His/Her pride was hurt"
526,"عارنامۊس","أمي مرأ عارنامۊسي دأره","رودربایستى","با ما رودربایستى دارد","Being Too Formal","He/She is being too formal with us"
527,"عسکي","کي عسکي بزه؟","عطسه","چه کسى عطسه کرد؟","Sneeze","Who sneezed?"
528,"عم پسرزا","تي عم پسر زأکه؟","بچه پسرعمه","بچهٔ پسرعمه‌ات است؟","Cousin's Son/Daughter","Is he/she your cousin's son/daughter?"
529,"عمجان","ديرۊ بۊشؤم مي عمجانˇ خانه","عمه","دیروز به خانه عمه‌ام رفتم","Aunt (Father's Sister)","I went to my aunt's house yesterday"
530,"عمجان دؤختر","فردأ مي عمجان دؤختر ٚ خانه ايسائيم","دخترعمه","فردا خانهٔ دخترعمه‌ام هستیم","Cousin (Father's Sister's Daughter)","We are at my cousin's house tomorrow"
531,"عمجان پسر","مي عمجان پسر رشت ايسأ","پسرعمه","پسرعمه‌ام در رشت است","Cousin (Father's Sister's Son)","My cousin is in Rasht"
532,"عنقص","أنˇ کاران عنقص ني-يه","از روى عمد","کارهایش از روى عمد نیست","On Purpose","His acts are not on purpose"
533,"عوض","أن همه پۊل فأدأئي اۊنˇ عوض چي فأگيفتي؟","به جاى","این همه پول دادى به جاى آن چه گرفتى؟","In Return","You spent a lot of money, what did you get in return?"
534,"عوض دکش","أمي پرهنانأ عوض دکش بۊکۊديم","معاوضه","پیراهن‌هایمان را معاوضه کردیم","Exchange","We exchanged our shirts"
535,"عيلاج","حسودي-يأ هيچ عيلاج ني-يه","مداوا","حسادت اصلن مداوا نمی‌شود","Cure","There's no Cure for jealousy"
536,"عيلاوه","ايتأ دئه عيلاوهˈ کۊن","اضافه","یکى دیگر اضافه کن","Add","Add another one"
537,"غۊرصه","غۊرصه خۊردن نوأ","غصه","غصه نخور","Sad","Don't be sad"
538,"فأدأ","ترأ چي فأدأ؟","داد","به تو چه داد؟","Gave","What did he/she gave to you?"
539,"فأده","تي نظر أمي پۊلأ فأده؟","می‌دهد","به نظرت پول ما را مى‌دهد؟","He/She Gives","Do you think he/she gives us our money?"
540,"فأرسه","شانس بأوردم ماسۊ مرأ فأرسه","کمک کرد","شانس آوردم ماسو به کمک من آمد","He/She Helped","I was lucky that Masoo helped me"
541,"فأمستن","أ مؤضۊ فأمستن أنقد سخته؟","فهمیدن","فهمیدن این موضوع این‌قدر سخت است؟","Understand","Is this so hard to understand?"
542,"فأندر","مرأ فأندر","نگاه کن","به من نگاه کن","Look","look at me"
543,"فأکش","أ لافندأ فأکش","بکش","این طناب را بکش","Pull","Pull this rope"
544,"فأکش","دئه مي کله فأکش نأره","کشش","ذهنم دیگر کشش ندارد","Focus","My brain can't focus anymore"
545,"فأکش","من گم وا بدن هأى فأکش دأن دره","ادامه","من مى‌گویم بس کن مدام دارد ادامه مى‌دهد","Continue","I'm telling him/her to stop but he/she continues"
546,"فؤقا","آهينأ  فؤقا گيلˇ دۊرۊن","فرو کن","آهن را در گل فرو کن","Dip","Dip the iron in the mud"
547,"فئلم","أ فئلمأ بيدئي؟","فیلم","این فیلم را دیده‌ای؟","Movie","Have you seen this movie?"
548,"فادار","بۊشۊ تي زاکأ فادار","سرپا بگیر","برو بچه‌ات را سرپا بگیر","To Hold Your Baby Over The Toilet","Go and hold your baby over the toilet"
549,"فارسانه","بؤشؤ مأمدأ فارسانه","رساند","رفت محمد را برساند","Give Someone a Ride","He went to give Mohamad a ride"
550,"فاش","فاش دأن دره","فحش","دارد فحش می‌دهد","Curse","He is cursing"
551,"فال","أ پرهن ته ره فاله","گشاد","این پیراهن برای تو گشاد است","Loose","This shirt is loose for you"
552,"فاکشيم","بيأ أ ميزأ فأکشيم ببريم اۊرأ","بکشیم","بیا این میز را بکشیم ببریم آن طرف","Pull","Let's pull this table over there"
553,"فترات","أشان دئه فترات کاشتن دريد","بیداد","این‌ها دیگر دارند بیداد می‌کنند","Injustice","They are doing injustice"
554,"فته کۊدن","دئه أمرأ فته کۊدن دره","به تنگ آوردن","دیگر دارد ما را به تنگ می‌آورد","annoy","He/She is annoying us"
555,"فجه","أيأ چي فجه؟","ریخته","این‌جا چه ریخته است؟","Spilled","What's spilled here?"
556,"فرخ","أن اۊنˇ مرأ فرخ کۊنه","تفاوت","این با آن تفاوت دارد","Different","This is different from that"
557,"فسفاله","چائي فسفالهˈ فيشان","تفاله","تفاله چاى را دور بریز","Residue","Throw away the tea residue"
558,"فسک","مي فسکأ بۊرۊز ندي","راز","راز من را فاش نکنى","Secret","Don't reveal my secret"
559,"ففه","ففه خۊري؟","جگر سفید","جگر سفید می‌خوری؟","White Liver (Food)","Would you eat white liver?"
560,"فلنگي","چي ره فلنگي؟","می‌لنگی","براى چه مى‌لنگی؟","Limping","Why are you limping?"
561,"فلگان","سٚفره ٰ فلگان","بتکان","سفره را بتکان","Shake","Shake the tablecloth"
562,"فيت","أمرأ فيت دأن دره","تحریک","دارد ما را تحریک مى‌کند","Provoke","He/She is provoking us"
563,"فيريني","فيريني خۊري؟","فرنی","فرنی می‌خوری؟","Porridge","Would you eat porridge?"
564,"فيشادن","أشان فيشادني-ئيد","دور ریختن","این‌ها دور ریختنى هستند","Throwing Away","These are thrown away"
565,"فيللي","فيللي تاودن خيابانˇ دۊرۊن خؤرم کار ني-يه","آب دهان","آب دهان انداختن در خیابان کار خوبى نیست","Spit","Spitting in the street is not a good thing"
566,"فيللي","فيللي تاودأ","آب دهان","آب دهان انداخت","Spit","He/She spat"
567,"فينگي","چي ره فينگي-يانˇ مأنستن گب زني؟","تو دماغى","براى چه مانند تو دماغى‌ها حرف مى‌زنى؟","Snuffle","Why are you snuffling?"
568,"فيچال","فيچال أنˇ آبأ بيگير","بچلان","بچلان آبش را بگیر","Wring","Wring it and take its water"
569,"فچم","أمأن بجار ٚ مئن فچم کار کۊنيم","خمیده","ما خمیده در مزرعه برنج کار می‌کنیم","Bend","We bend over to work in the rice field"
570,"فک","فک بأورده","بدبیارى","بدبیارى آورد","Misfortune","He/She is misfortunate"
571,"فگيفتم","ايمرۊ حۊقۊق فگيفتم","گرفتم","امروز حقوق گرفتم","I Got","I got salary today"
572,"فۊ","فۊ بزن سردأ به بزين بۊخۊر","فوت","فوت کن سرد شود بعد بخور","Blow","Blow it until it's cool and then eat"
573,"فۊبرده","تا کيکأ بأورديم فۊبرده","بلعید","به محض این که کیک را آوریم بلعید","Swallowed","He/She swallowed the cake as soon as we bring it"
574,"فۊتۊرکسته","شال أمي کرکانأ فۊتۊرکسته","حمله کرد","شغال به مرغ‌هاى ما حمله کرد","Attacked","Jackal attacked our chickens"
575,"فۊداشتن","کي بۊ فۊداشته؟","شلیک کردن","چه کسى بود که شلیک کرد؟","Shoot","Who was the one shooting?"
576,"فۊرانه","أنˇ کاران همهˈ فۊرانه","دور می‌کند","کارهاى او همه را دور مى‌کند","Keeps Away","His/Her behavior keeps everyone away"
577,"فۊندؤق","چنتا فۊندؤق دأري؟","فندق","چند عدد فندق داری؟","Hazelnut","How many hazelnuts do you have?"
578,"فۊچين","تي چۊمانأ فۊچين بۊخۊس","چشم‌ها را ببند","چشم‌هایت را ببند بخواب","Close Your Eyes","Close your eyes and sleep"
579,"فۊکۊده","شيرأ فۊکۊده فرشˇ سر","ریخت","شیر را روى فرش ریخت","Spill","He/She spilled the milk on the carpet"
580,"فۊکۊن فيشان","أيأ هميشک فۊکۊن فيشانه","ریخت و پاش","این‌جا همیشه ریخت و پاش است","Messy","It's always messy here"
581,"فۊگۊردسته","فۊگۊردسته خۊفته","روى شکم خوابیدن","روى شکم خوابیده است","Sleeping On the  Stomach","He/She is sleeping on the stomach"
582,"فۊگۊردسته","أمي خانه ديفار فۊگۊردسته","واژگون شد","دیوار خانه ما واژگون شد","Knocked Down","The wall of our house was knocked down"
583,"قؤوت","أنˇ دسأ قؤوت دينه","توان","دستش توان ندارد","Strength","His hand has no strength"
584,"قاتؤق","ايپچه قاتؤق دۊکۊن کاسه مئن","خورش","کمى خورش در کاسه بریز","Stew","Serve some stew in the bowl"
585,"قار","مي مرأ قاره","قهر","با من قهر است","Angry","He/She is angry with me"
586,"قاق","خبرأ کي بيشتاوستيم قاقأ بؤستيم","حیران","خبر را که شنیدیم حیران شدیم","Wandering","I was wandering when I heard the news"
587,"قاينا","بيلاخره بتأنستم اۊنأ قاينا بۊکۊنم","متقاعد","بالاخره توانستم آن را متقاعد کنم","Convinced","I could finally convinced him/her"
588,"قيش","مي قيشأ بيدئي؟","کمربند","کمربندم را دیده‌ای؟","Belt","Have you not seen my belt?"
589,"قٚزٚنج","ايپچه پۊل قٚزٚنج بۊکۊدم","پس انداز","کمى پول پس انداز کردم","Saved (Money)","I saved some money"
590,"قۊشمه مۊ","بۊشۊ تي قۊشمه مۊيأ چأکۊن","آشفته مو","برو موهاى آشفته‌ات را درست کن","Disheveled Hair","Go fix your disheveled hair"
591,"لؤجنک","بۊشۊ لؤجنکأ دود پيچأ نأيه بۊدۊرۊن","دریچه پشت‌بام","برو دریچه پشت‌بام را ببند گربه داخل نیاید","Dormer","Go and close the dormer so cat won't come inside"
592,"لؤفٚت","تي پا سر بئس هي کسˇ لؤفٚتأ کشئن نوأ","منت","روى پاى خودت بایست منت کسى را نکش","Stoop to a Favor","Stand on your feet and don't stoop to a favor"
593,"لا","أ کاغذأ بنه تي دفترˇ لا","بین دو چیز","این کاغذ را میان دفترت بگذار","Between Two Things","Put this paper between your notebook"
594,"لا","هرچي زأمت بکشه-بيمأ لا بۊکۊد","تباه","تمام زحمت‌هاى ما را تباه کرد","Ruined","He/She ruined all of our hard work"
595,"لابدان","لابدانأ‌ بيگير","عنکبوت","عنکبوت را بگیر","Spider","Catch the spider"
596,"لار","أ تۊرف لاره","پوک","این ترب پوک است","Hollow","This radish is hollow inside"
597,"لافند","لافندأ کؤيأ بنأئي؟","طناب","طناب را کجا گذاشتی؟","Rope","Where did you put the rope?"
598,"لانتي","أ لانتيأ بيدين","مار","این مار را ببین","Snake","Look at this snake"
599,"لانتۊز","چي ره لانتۊز تأوده؟","جفتک","برای چه جفتک می‌اندازد؟","Kick","Why is he/she kicking?"
600,"لته","اۊ لتهٰ مرأ فأدن ميزأ پأکۊنم","دستمال","آن دستمال را به من بده میز را تمیز کنم","Handkerchief","Give me the handkerchief to clean the table"
601,"لس","غذا خۊردنˇ پسي آدم لسأ به","شل و وارفته","آدم بعد از غذا خوردن شل مى‌شود","Flimsy","One become flimsy after eating"
602,"لپه","لپهٰ تأود","توپ","توپ را پرتاب کن","Ball","Throw the ball"
603,"لچه","چیچینی دارˇ لچه نیشته","فراز","گنجشک بر فراز درخت نشسته است","Top (Of Something)","Sparrow is sitting on the top of the tree"
604,"لۊاس","لۊاس دامان ٚ مئن زيويسته","روباه","روباه در جنگل زندگی می‌کند","Fox","The fox lives in the jungle"
605,"لۊچ","لۊچي مگه؟","چپ چشم","مگر چشم‌ات چپ است؟","Cross-Eyed","Are you cross-eyed?"
606,"لۊچان","أمرأ لۊچان زنه","پشت چشم نازک کردن","براى ما پشت چشم نازم مى‌کند","Rolling Eyes","He/She rolling his/her eyes at us"
607,"مأر","مي مأر بۊشؤ کار ٚ سر","مادر","مادر من به سر کار رفته است","Mother","My mother has gone to work"
