"id","glk_word","glk_example","en_word","en_example"
609,"مأنستن","خۊ پئرˇ مأنستن گب زنه","Like","He/She speaks like his father"
610,"مئخ","بچمسته مئخانأ فيشان","Nail","Throw away crooked nails"
611,"مئوه","مئوهٰنأ بۊشؤستي؟","Fruit","Did you wash the fruits?"
612,"ما","ايتأ ما بدن","Kiss","Give me a kiss"
613,"ما","أ ما وا بشم مۊسافرت","Month","I should go on a trip this month"
614,"مائي","أکبر دۊتا سيفيد مائي بيهه-بۊ","Fish","Akbar had bought two Caspian white fish"
615,"مات","چي ره ماتأ زئي؟","Astonished","Why are you astonished?"
616,"ماتؤر","مي ماتؤر رؤشنأ نيبه","Motorcycle","My motorcycle doesn't start"
617,"ماده","مي ماده مرأ در کۊنه","Stomach","My stomach hurts"
618,"ماز","اۊ مازأ مرأ وأسينم مي کفشأ","Wax","Give me that wax to applying it to my shoes"
619,"ماسکأ","ماسکأ بازي-يأ تۊمانأ کۊن","Ridiculous","Stop being Ridiculous"
620,"ماشل","مي مأرˇ مرأ شؤن دريم مي ماشلˇ خانه","Aunt (Mother's sister)","I'm going to my aunt's house with my mother"
621,"ماشه","اۊ ماشه-يأ مرأ فأدن","Metal Pincers","Give me that metal pincers"
622,"ماشک","ماشکأ تأود","Fishing Net","Throw the fishing net"
623,"ماقؤل","ماقؤل بۊگؤفتم","It's Good That","It's good that I said that"
624,"مالا","مي پئر مالايه","Fisherman","My father is a fisherman"
625,"ماندگي","بدأ ايپچه ماندگي بيگيرم","Getting Rest","Let me get some rest"
626,"ماچي","ايتأ ماچي مرأ ديهي؟","Kiss","Would you give me a kiss?"
627,"مترس","باقلا باغ ٚ مترسه","Scarecrow","He's the scarecrow of the bean garden"
628,"مته","مته نهأن نوأ","Nuisance","do not make a nuisance"
629,"مجاز","مي مجاز نبره","Taste","It's not my taste"
630,"مدار","هأ مدار بۊشۊ جۊلؤ","Method","Go forward with this method"
631,"مرأ","مرأ بۊگۊ چي خأئي؟","Me","Tell me what you want?"
632,"مراغ","آدمأ مراغأ گيره","Creep","Adam is a problem"
633,"مرجانه","أ کارتانأ مرجانه فگيفتم","Free","I got these cards for free"
634,"مرد ٚ خاخۊرزا","مي مرد ٚ خاخۊرزا أمي خانه ايسأ","Husband's Nephew/Niece","My husband's niece is in our house"
635,"مردˇ برار","مي مردˇ برارˇ خانه هأ کۊچه دۊرۊنه","Husband's Brother","My husband's brother's house is in this alley"
636,"مردˇ برار زن","تي مردˇ برار زنأ بيدئم","Sister in Law (Husband's Brother's Wife)","I saw your sister in law"
637,"مردˇ خاخۊر","مي مردˇ خاخۊر بۊشؤ خارج","Sister in Law (Husband's Sister)","My sister in law went abroad"
638,"مردأى","أ مردأى ديرۊز بامؤ","Man","This man came yesterday"
639,"مردۊم","مردۊم همه بامؤبيد","People","All people had come"
640,"مرگٚنا","مرگٚنا بزن","Putting Head Down","Put your head down"
641,"مضرت","أنقد کي مضرتي تي جان همه جيجايه","Mischievous","You're so mischievous that all of your body is wounded"
642,"من","من بۊشؤم","I","I went"
643,"مه ره","أ کفشأ مه ره بيهئم","For Myself","I bought these shoes for myself"
644,"مي","مي مأر أمؤن دره","My","My mother is comeing"
645,"ميان","أ گب أمي ميان بمانه","Between","Keep these words between us"
646,"مچد","مچد شؤن دري؟","Mosque","Are you going to the mosque?"
647,"مچه","أمين خۊ مچهٰ عمل بۊکۊده","Chin","Amin got a chin surgery"
648,"مک","مي سرأ مکأ کۊده","Dandruff","I got dandruff"
649,"مۊران","آهين مۊران بزه","Rust","The iron is rusty"
650,"مۊرجه","ايپچه مۊرجه دۊکۊن","Lentil","Add some lentil"
651,"مۊرجه","ايپچه مۊرجه دۊکۊن","Lentil","Add some lentil"
652,"مۊرغانه","دۊتا مۊرغانه بأور مۊرغانه دشکن بۊخۊريم","Egg","Bring two eggs to eat fried eggs"
653,"مۊس","مۊس بۊکۊده","Mold","It got moldy"
654,"مۊسافرت","أئي بيشيم مۊسافرت؟","Trip","Do you wanna go on a trip together?"
655,"نأرم","تي شۊمارهˈ نأرم","I Do Not Have","I do not have your number"
656,"نأنسته-بؤ","نأنسته-بؤ أ کارأ بۊکۊده","Unknowingly","He/She did this unknowingly"
657,"نؤبدان","اينفرأ بأور نؤبدانأ چأکۊنه","Gutters","Bring someone to fix the gutters"
658,"نؤرۊزبل","جلالي تقویم ٚ مئن ۱۷ مۊرداد نؤرۊزبله","Nowruzbal","In Jalali calendar Mordad 17 is Nowruzbal"
659,"نابراري","أن مي نابراري-يه","Step Brother","This is my step brother"
660,"ناجه","ناجه دأرم ايمرۊ بازي-يأ سر بيبيم","Hope","I hope to win the game today"
661,"ناحق ؤ نابۊد","ناحق ؤ نابۊد کرأ زٚجٚر کشیم","Unjustly","We are suffering unjustly"
662,"ناخبر","رضا ناخبر بامؤ أمي خانه","Intrude","Reza intrude to our house"
663,"ناخۊش آوال","ايمرۊ ايپچه ناخۊش آوالم","Sick","I'm a little bit sick today"
664,"ناخۊن","مي پا ناخۊن بشکفته","Nail","My toe nail broke"
665,"ناخۊن","تي ناخۊنأ بيگير","Nail","Clip your nail"
666,"ناره","ناره کۊدن دره","Nazy","It is silent"
667,"نازبداشته","أمي زأکأن نازبداشته-ئيد","Spoiled","Our kids are spoiled"
668,"ناسۊس","بۊشۊ ناسۊسأ بأور","Air Pump","Go bring the air pump"
669,"ناقلن","ناقلن تۊ أمي مرأ بيأ","At Least","At least you come with us"
670,"ناکس","ناکسˇ پۊشتين بؤستن نوأ","Coward","Do not support the coward"
671,"نتاج","أمان گيلک ٚ نتاجيم","Generation","We are gilak generation"
672,"نجاق","نخأستي بأيه نجاقˇ مرأ أنأ بأوردم","Force","HE/She didn't want to come we forced him/her"
673,"ندار","ندارˇ آدمه","Broke","He/She is broke"
674,"نشأ","جاده-يأ آب بيگيفته شؤن نشأ","Can't","The water closed the road we can't go"
675,"نقل","ايتأ نقل بۊگۊ","Story","Tell a story"
676,"نم","أمي وسيلهˈنأ نم بزه","Moist","Our stuff got moisten"
677,"ننأ","فاکتؤران ميزˇ سر ننأ","Is Not","Invoices are not on the table"
678,"نهأن","پلايأ نهأن درم گازˇ سر","Put","I'm putting the rice on the stove"
679,"نوأ","اۊتؤ گب زئن نوأ","Don't","Don't talk like that"
680,"نيده بيده","نيده بيده-کانأ مأنه","Upstart","He/She looks like an upstart"
681,"نيشتاو","زأکي-يم نيشتاو بي","Stubborn","You were stubborn in your childhood too"
682,"نيميزگيره","درأ نيميزگيره وأکۊن","Slightly","Open the door slightly"
683,"نيويره","مرأ سربسر نهأن نوأ نيويره بد ديني-يأ","Otherwise","Don't bother me otherwise you'll see badly"
684,"نيويشتن","کيتاب نيويشتن درم","Write","I'm writing a book"
685,"نپج","أ نۊخۊدان نپجه","Take Too Long To Cook","These peas take too long to cook"
686,"هأتؤ","حؤکمن هأتؤيه کي شۊمان گيد","As Well","It's most likely as well as you say"
687,"هأنه","أمي دار ؤ ندار هأنه","This Is","This is all of our property"
688,"هأچين","هأچين پلا خۊردن دريم","Plain","We're eating plain rice"
689,"هأچين پلا","هأچين پلا خۊردأن درم","Plain Rice","We're eating plain rice"
690,"هأچينه","خانه أثاثانأ هأچينه فأدأ بۊشؤ","Free","He/She gave away the house furniture for free"
691,"هئن","چي هئن دري؟","Buying","What are you buying?"
692,"هر ساعت دقه","هر ساعت دقه أيه أمي خانه","Every Minute","He/She comes to our house every minute"
693,"هرتا","هرتا گۊشي-يان ايتأ خؤبي دأريدي","Each","Each mobile phone has its own features"
694,"هسأ","هسأ أيم","Now","I'm coming now"
695,"هش","هش نفر بامؤئيد","Eight","Eight people came"
696,"هف","هف نفر نامؤبيد","Seven","Seven people had not came"
697,"هف شب","فردأ مي جغله هف شبه","The Seventh Night's Party For Baby","Tomorrow is the seventh night's party for my baby"
698,"هلاچين","زاک ٚ ره صارا دۊرۊن هلاچين چأکۊدم","Swing","I made a swing for my child in the yard"
699,"هلماله","دئه هلماله اۊنˇ ورجا نشم","Never","I will never go to him/her"
700,"هم زاما","مي هم زاما هرشب أمي خانه ايسأ","Brother in Law (Wife's Sister's Husband)","My brother in law is at our house every night"
701,"همه-دأنه","فردأ همه-دأنه أئيدي","All Of Them","All of them will come tomorrow"
702,"هميشک","گيلان هميشک وارشي-يه","Always","Gilan is always rainy"
703,"هندم هۊندم","هندم هۊندمه کي واران بأيه","Soon","it will rain soon"
704,"هني","هني وا بيشي","Still","You still have to go"
705,"هيزار","هيزار ريال دئه پۊل ني-يه","Thousand","One thousand Rials is not that much money anymore"
706,"هيست","واران وارستي هيستأ بؤستم","Wet","It was raining and I got wet"
707,"هيل","ايپچه هيلم دۊکۊن","Coriander","Add some coriander too"
708,"وأبرازه","أ پرهن ترأ وابرازه","It Suits","This shirt suits you"
709,"وأجه","تي دۊماغأ اي چي وأجه","Sticking","Something's sticking on your nose"
710,"وأده","أمرأ وأده بيگيفته","Invite","He/She has invited us"
711,"وأسي","وأسي دۊ تا نان فگيفته-بيم","Should","I should have bought two breads"
712,"وأسي","ايمرۊ پۊر کار دأرم، هأنˇ وأسي زۊد بأمؤم","Because","There's a lot of work, I came early because of that"
713,"وأمجي","چي ره وأمجي؟","You Are Looking For","What are you looking for?"
714,"وأمرازه","أ گبان ترأ وأمرازه","It Doesn't Suit","These words doesn't suit you"
715,"وأورس","اۊ زناکأ وأورس","Ask","Ask that woman"
716,"وأورسي","هرچي وأورسي ترأ گب بسرأ کۊنه","You Ask","Whatever you ask he/she changes the subject"
717,"وأچئن","خۊ خانه سرأ وأچئن دره","Destroying","He/She is destroying the roof of his/her house"
718,"وأچۊک","دارأ وأچۊک","Climb","Climb the tree"
719,"وأکفتم","دئه وأکفتم","I'm Being Exhusted","I'm Exhusted"
720,"وأکفته","أمرأ وأکفته","Pester","He/She pestered us"
721,"وأکۊده","مأمدأ وأکۊده بامؤ","Drop","He/She Dropped Mohammad off and he/she came back"
722,"وأکۊن","درأ وأکۊن","Open","Open the door"
723,"وأگردان","أ کيتابأ تۊ وأگردان بۊکۊدي؟","Translate","Did you translate this book?"
724,"وأگردان","اۊ شامي-یأ وأگردان","Flip","Flip that cutlet"
725,"وأگردانئده","أ خيابانˇ ايسمأ وأگردانئده","They Have Changed","They have changed the name of this street"
726,"وأگردانئم","کيتابأ وأگردانئم","I Returned","I returned the book"
727,"وأگيران","گازأ وأگيران","Turn Something On","Turn the Stove on"
728,"وئر","تأني أ رۊخانأ وئر بزني؟","Crossing The River","Can you cross the width of this river?"
729,"وا","أيتأ اۊيتأ نأره همه وا بأئيد","Must","There's no this and that, everyone must come"
730,"وا","سردˇ وا دمه","Wind","Cold wind is blowing"
731,"وا","هرچي خۊرم هنده مرأ وا","Craving","Whatever i eat I'm still craving"
732,"وابؤن","در وابؤ","Opened","The door opened"
733,"واترکانم","ترأ بيدينم واترکانم","I Rip Apart","If I see you I'm gonna rip you apart"
734,"واترکستم","خأنده جأ واترکستم","I Burst Out","I burst out laughing"
735,"واتين","گيدي کؤرؤنا واتين دأره","Communicable","They say Corona is communicable"
736,"واجؤر","أ بج واجؤر کۊنه","Fluffy","This rice is fluffy"
737,"واجام","زرد ٚ واجامأ مأنه","Eggplant","It looks like a yellow eggplant"
738,"واجاوره","أمرأ خۊره واجاوره","He/She Vomits","He/She eats us and vomits agine"
739,"واخان","أنأ واخان","Re-Read","Re-read this"
740,"واخب","أمان ديرۊ واخبأ بؤستيم","Informed","We got informed yesterday"
741,"واخۊر","آب واخۊر","Drink","Drink water"
742,"واد","فچم تي وادأ بيگيرم","Measure","Bend and let me measure you"
743,"واداشته","أمرأ واداشته أ سردˇ هوا دۊرۊن بئسيم","Forced","He/She forced us to stay in this cold weather"
744,"وارؤختن","گيلانأ وارؤختن درد","Plunder","They are plundering Gilan"
745,"واران","ديرۊ واران بامؤ","Rain","It rained yesterday"
746,"وارستن","واران وارستن دره","Raining","It is raining"
747,"وارسي","ايپچه اۊشنتر همهٰ وارسي کۊديد","Inspection","A little further they were inspecting everyone"
748,"وارسي","وا أول وارسي بۊکۊنيد","Research","We should research first"
749,"واز","چيچيني-يانأ فأندر چۊتؤ واز کۊنیدي","Flying","Look the sparrows how they are flying"
750,"واز ؤ ولنگ","زاکان پارکˇ دۊرۊن چي واز ؤ ولنگي کۊنيدي","Capering","Children capering in the park"
751,"وازده","مرأ وازده بأورده","Hassle","He/She hassling me"
752,"وازن","تي کفشأ وازن بيشيم","Wear","Wear your shoes let's go"
753,"واسئن","اۊن چیسه ترأ وأسئن دري؟","Rub","What are you rubbing to yourself?"
754,"واسرأ دأن","أمرأ واسرأ دأ","Send Someone on a Fool's Errand","He/She Sent us on a fool's errand"
755,"واسۊجانه","أمي خۊنا واسۊجانه تا خۊ مدرکأ فأگيفت","He/She Burned Up","He/She burned all of our blood up until he/she graduated"
756,"واسۊخسته","ترأ واسۊخسته آدم هفتاد سال پاکي نأره","Ran Into","Someone who ran into you won't be cleansed for seventy years"
757,"واش","گابˇ ره خاش فۊکۊنه سکˇ ره واش","Grass","He/She throws bone for the cow and grass for the dog"
758,"واشان","بۊشۊ جايأ واشان","Spread","Go and spread the bed sheets"
759,"واشکاف","أ پرهن ٚ درزأ واشکاف","Open","Open the seam of this shirt"
760,"واشکاف","مرأ حالي نؤبؤسته، ايپچه واشکاف","Explain More","I didn't understand, explain a little bit more"
761,"واشکافيدي","باهارˇ وخت گۊلان واشکافيدي","Bloom","In the spring the flowers bloom"
762,"والان","تي پرهنأ اۊيأ والان","Hang","Hang your shirt over there"
763,"والنگ","نيصفˇ را والنگأ دأ","Quit","He/She quit halfway through"
764,"واليشتن","گاب خۊ ماندهٰ واليشتن دره","Licking","Cow is licking its calf"
765,"وامختن","چي-يأ وأمختن دري؟","Search","What are you searching for?"
766,"وامختن دري","چي-يأ وأمختن دري؟","You Searching","What are you searching for?"
767,"واهيل","مي ديل واهيلأ بؤسته","Impatient","My heart has been impatient"
768,"واويجان","مائي-يأ خؤب واويجان","Grill","Grill the fish properly"
769,"واوين","أ خالأ واوين","Cut","Cut this branch"
770,"واپس","چي ره واپس شؤن دري؟","Backward","Why are you going backward?"
771,"واپلکه","تيانأ بنه بدأ ايپچه واپلکه","Soaked","Leave the stock pot to get soaked"
772,"واچرد","تا نانأ بيده نيصفأ وأچرد","Cut Something Into Pieces","As soon as he/she saw the bread he/she cut it into half"
773,"واکاريد","بعضي-يان خأئيد أمي ميانأ واکاريد","To Make Quarrel Between Two People","Some people want to make a quarrel between us"
774,"واکاشته","أمرأ أيأ واکاشته","Made Us Wait","He/She made us wait here"
775,"واکاشته","أمرأ أيأ واکاشته","Made Us Wait","He/She made us wait here"
776,"واگير","أن ٚ مأر أنˇ گبأ واگير کۊنه","Confirming Someone's Words","His/Her mother Confirms his/her Words"
777,"وخت","باهارˇ وخت أيم گيلان","Season","I'll come to Gilan in the spring season"
778,"ودره","اۊ ودرهˈ فأدن مرأ","Bucket","Give me that bucket"
779,"ورأچۊک","بامؤ أمي ورأچۊک بينيشته","Next To","He/She came and sat next to us"
780,"ورجا","کيتابان أمدˇ ورجا نهأ","With","The books are with Ahmad"
781,"ورف","أجۊر ورف کي تا هسأ بيده بۊ؟","Snow","Who had seen such snow?"
782,"ورگ","ايتأ سيا ورگ بيدئم","Wolf","I saw a black wolf"
783,"وسته","هأنقد مرأ وسته","Is Enough","This much is enough for me"
784,"ول","آتشˇ ولأ فأندر","Fire Flame","Look the fire flame"
785,"ولکي","ايپچه بئسيد ولکي أميرم بأيه","Maybe","Wait a little maybe Amir comes too"
786,"ولگ","مي اينستا ولگأ دأري؟","Page","Do you have my Instagram page?"
787,"ولگ","پئيز ولگان چي خؤشگيلأ بيد","Leaf","In the autumn leaves become so beautiful"
788,"وهاشته","مي پئر مرأ وهاشته بأيم","Allowed","My father allowed me to come"
789,"ويريزانه","أمرأ أمي جا سر ويريزانه","Made Someone Get Up","He/She made me get up from my seat"
790,"ويريزانه","خابˇ جا أمرأ ويريزانه","Woke Someone Up","He/She woke us up"
791,"ويريشتد","گيلکان هأتؤئيد، مشرۊطه زماتم هأ ايوار ويريشتد","They Stood Up","Gilaks are Like this, they suddenly stood up in the constitutional period too"
792,"ويريشته","اۊن کيسه ويريشته؟","stand up","Who is the one standing up?"
793,"ويريشته","بۊشۊ بيدين زأى ويريشته؟","Awake","Go and see if the baby is awake?"
794,"ويشتا","مرأ ويشتايه","Hungry","I'm hungry"
795,"ويشتر","ويشتر آب دۊکۊن","More","Pour more water"
796,"ويني زئک","تي دۊماغ ويني زئکأ پأکۊن","Snot","Wipe away the snot of your nose"
797,"ويگير","گۊشي-يأ ويگير","Pick Up","Pick up the phone"
798,"وٚلٚش","بيأ بيشيم وٚلٚش چيني","Raspberry","Let's go pick raspberry"
799,"يأ","أنأ خأئي يأ اۊنأ؟","Or","Do you want this one or that one?"
800,"ياره","خاليشواشأ فأدن مي مأر ته ره ياره","He/She Muddle","Give the oregano to my mother and she will muddle it for you"
801,"ياور","تأنيد مرأ ياور بديد؟","Help","Can you help me?"
802,"پئر","مي پئر بۊشؤ کارˇ سر","Father","My father went to work"
803,"پئر ؤ مأر","مي پئر ؤ مأر بخانه نئسائيد","Parents","My parents aren't home"
804,"پئرˇ زن","همه-تا پئرˇ زنان کي بد ني-ئيد","Step Mother","Not all step mothers are bad"
805,"پئله","چائي-يأ دۊکۊن پئله دۊرۊن","Saucer","Pour the tea inside the saucer"
806,"پئنج","پئنج تا نان خأيم","Five","I want five breads"
807,"پئنجا","زري-يم خۊ پئنجا ريالأ فأدأ","Fifty","Zary also paid her own fifty Rials"
808,"پا بسر","زاکأ پا بسر کۊدن نوأ","To Pass Over Something","Don't pass over the baby"
809,"پا تۊک","تي پا تۊکˇ سر بئس خانه دۊرۊنأ فأندر","Toe","Stand on the tip of your toes and look inside the house"
810,"پابرانده","پابرانده صارا شؤن نوأ","Barefoot","Don't go in the yard barefoot"
811,"پاخت","دگرأ بۊخۊردم پاختا بؤستم زيمينˇ سر","Fell","I wambled and fell on the ground"
812,"پاستن","کۊجي زاکانأ وا پاستن","Protect","Small children should be protected"
813,"پاماله","أن لۊاسˇ پاماله-يه","Footprint","This is a fox footprint"
814,"پاپى","أمي پاپى بؤبؤسته","Chase","He/She chased us"
815,"پاچ","آدم پاچ ببه أمما آردال نبه","Short","Better be short than be tall and ugly"
816,"پاک","پاک خؤرأ بزه نيشتاوستن","Totally","He/She totally acted like he/she didn't hear us"
817,"پاک","سبزي-يانأ پاکۊدي؟","Clean","Did you clean the vegetables?"
818,"پت","أمي مؤبل ٚ دستهٰ پت بزه","Woodworm","The handle of our sofa has been eaten by woodworm"
819,"پرأ گيفته","زأى تا خۊ مارأ بيده پرأ گيفته","He/She Became Very Happy","The child became very happy as soon as he/she saw his/her mother"
820,"پرأ گيفتيد","چيچيني-يان تا پيچايأ بيده-ئيد پرأ گيفتيد","Flew Away","The sparrows flew away when they saw the cat"
821,"پرکاله","ايتأ پرکاله سئب مرأ فأدن","Piece","Give me a piece of apple"
822,"پرکيم","سرمائي کرأ پرکيم","We're Shaking","We're shaking because of the cold"
823,"پس","وا ويشتر حقˇ سأى بۊکۊنم نيويره پس دکفم","Behind","I should try more otherwise I'll fall behind"
824,"پس بمأنسته","تي پس-بمانسته غذايأ فۊکۊن چيري-يانˇ ره","Remaining (Food)","Throw your remaining foods for the birds"
825,"پس ٚ پۊشت","أشانأ ببر اۊ پس ٚ پۊشت تأود","In The Weeks","Tiger on those weeks"
826,"پسˇ کۊنˇ قاف","مي تۊمانأ ببرده پسˇ کۊنˇ قاف بنأ","Behind the Ghaf Mountain","He/She put pants behind the Ghaf mountain"
827,"پسرزأک","پسرزأکه، أن ٚ تامأ دکفه","Little Boy","he's a little boy, he craves"
828,"پسي","أنˇ پسي تي درزأ فأرس","After","After this study your lessons"
829,"پسي","شامˇ پسي أيم شيمي خانه","After","After the dinner we will come to your house"
830,"پشه دام","تاوستانان أگه پشه-دام نمانه، خۊفتن نشأ","Mosquito Net","if there is no mosquito net in summers, you can't sleep"
831,"پلکان","پلکانˇ سر نيشتن نوأ","Stairs","Do not sit on the stairs"
832,"پيت","أمي سئخان همه پيتأ بؤستد","Nag","All our skewer have been"
833,"پيسخاله","ايتأ پيسخاله نمک دۊکۊن","A Little Bit","Add a little bit of salt"
834,"پيش","علی أمرأ پيش دکفته","Got Past","Ali got past us"
835,"پيش","پيش کيسه؟","The One Starting the Game","Who is the one starting game?"
836,"پيش دٚوٚد","مي پيش دٚوٚد کۊيأ نهأ؟","Apron","Where is my apron?"
837,"پيش گب","کيتاب تۊمانأ بؤسته بمانسته أنˇ پيش گب","Introduction","The book has finished, only the introduction has left"
838,"پيشأشؤ","فردأ أمي مئمانان أئيدي وا بيشيم أشانˇ پيشاشؤ","Favorites","Tomorrow Our guests should go to your sultan"
839,"پيل","مي دس پيل بۊکۊده","Blister","My hand has got blistered"
840,"پيله","ايتأ پيله سئب مرأ فأدن","Big","Give me a big apple"
841,"پيله مأر","ديرۊ تي پيله مأرأ بیدئم","Grandmother","I saw your grandmother yesterday"
842,"پيله پئر","مي پيله پئر بۊشؤ دریا","Grandfather","My grandfather went to the sea"
843,"پيله-سۊس","زأکم أنقد پيله-سۊس؟","Nosy","How nosy is this child?"
844,"پيلکي","هأ پيلکي آدم خۊ گب زئنأ نأنه","Greatness","One with that greatness doesn't know how to talk"
845,"پينيک","تي رختان همه پينيک بزئکه","Patched","All of your clothes has been patched"
846,"پينيک-پاره","پينيک-پاره رختان تازگي داب بؤبؤسته","Patched and Ripped Up","Patched and ripped up clothes are trendy recently"
847,"پيچ واپيچ","أ مؤضۊ پۊر پيچ واپيچه","Complicated","This subject is very complicated"
848,"پيچأ","پيچأ کيشکائان ٚ ره جۊخۊفته دأره","Cat","The cat has ambushed for the chickens"
849,"پيچاک","پيچاک ٚ وينجي-يأ مأنه","Sticky","It's sticky like Saghez"
850,"پٚل","ترأ پٚلأ کۊنمه","In Pieces","I'm gonna cut you in pieces"
851,"پٚلف","تي پٚلفˇ شکمأ آبأ کۊن","Chubby","Burn off your chubby belly"
852,"پۊتار","أيأ چي فۊکۊدي؟ پۊتارأ کۊده","Ant","What did you spill here? the ants gathered"
853,"پۊتۊ","ترأ پۊتۊ دشان","Blanket","Cover yourself with blanket"
854,"پۊر","اۊتۊبۊسانأ آدم دره پۊر","Full","Buses are full of people"
855,"پۊرأ کۊن","تيانأ آب دۊکۊن پۊرأ کۊن","Fill","Fill the stock pot with water"
856,"پۊرد","آهين پۊردأ دٚواريم دئه فأرسيم","Bridge","We will reach after we pass through the iron bridge"
857,"پۊسته ايشکنه-ئي","خؤشحالي جأ پۊسته ايشکنه-ئي","Snapping","He/She is snapping because of happiness"
858,"پۊشت","بۊشۊ فأندر درˇ پۊشت کي ايسأ؟","Behind","Go and see who is behind the door?"
859,"پۊشتابد","تي پۊشتابدأ اۊسان بيشيم","Backpack","Pick up your backpack and let's go"
860,"پۊشتين","گيلک گيلکˇ پۊشتينه","Supporter","Gilak is Gilak's supporter"
861,"پۊل","ايپچه پۊل دأري مرأ فأدي؟","Money","Do you have some money to give me?"
862,"پۊلۊک","مي پرهنˇ پۊلۊک بکفته","Button","My shirt button has fallen off"
863,"چأکۊنم","کرأ خانه چأکۊنم","I Building","I am building a house"
864,"چأکۊنه","بۊشۊ رمضانˇ ويجا، اۊن تأنه تي کارأ چأکۊنه","He/She Fix","Go to Ramezan, he can fix your problem"
865,"چؤ","چؤ دکفتهˈنأ باور کۊدن نوأ","Rumor","Don't believe the rumors"
866,"چؤرنيلي","أ چؤرنيلي پرهنأ ديرۊ بيهئم","Purple","I bought this purple shirt yesterday"
867,"چئل","چئل سال پيش أيأ بامؤبۊم","Forty","I had come here forty years ago"
868,"چا","بۊشۊ چا جأ آب واغۊش","Well","Go bring water from the well"
869,"چار","چار تا کۊئي مرأ فأدن","Four","Give me four pumpkin"
870,"چارپاچه","چارپاچه نيشته بۊ","Cross-legged","He/She was sitting cross-legged"
871,"چارچاک","درأ چارچاک بنأ","Wide Open","He/She left the door wide open"
872,"چالٚکا","چالٚکا ميان دنکفي","Pit","Don't fall inside the pit"
873,"چان","وحيدأ بيدئم ايتأ کيسه بج بچانأ گيفته بۊ","Shoulder","I saw Vahid putting a bag of rice on his shoulder"
874,"چاپ چاپ","بۊلبۊل کرأ چاپ چاپ زنه","Chirping","The Nightingale is chirping"
875,"چاپلا","خؤشالي جأ کرأ چاپلا زنه","Clapping","He/She is clapping because of happiness"
876,"چاک","غذا بۊ هأ چاکأ پۊرأ کۊده","Space Around","The smell of food has filled the space around"
877,"چرت ٚ چۊلا","دئه کرأ چرت ٚ چۊلا گي","Nonsense","You are talking nonsense"
878,"چرخ","ديرۊ ايتأ چرخ بيهئم","Bike","I bought a bike yesterday"
879,"چرخستن","هأچين أمي دؤر چرخستن دريم","Spin","We are spinning around ourselves because of nothing"
880,"چف","أنقد بۊخۊفتي چف بۊکۊدي","Swollen","You slept so much that you are swollen"
881,"چفت","درأ چفتأ کۊدي؟","Close","Did you close the door?"
882,"چفتن","سرمائي چفتن دٚوستيم","Freeze","We froze from the cold"
883,"چمچه","چمچهٰ بيدئي؟","Ladle","Have you seen the ladle?"
884,"چنتا","تۊ چنتا آغۊز دأري؟","How Many","How many walnuts you have?"
885,"چندر","شيمي خانه چندر دۊره","How Far","How far is your home?"
886,"چيسه","أن چيسه؟","What","What is this?"
887,"چيشتن","کرأ غذائانأ ايتأ ايتأ چيشتن درم","Tasting","I'm tasting the foods one by one"
888,"چيچال","تي دسأ چيچالˇ آبˇ مرأ بۊشؤر","Lukewarm","Wash your hands with lukewarm water"
889,"چيچيني","ايمرۊ ايتأ چيچيني-يم نيدئم","Sparrow","I haven't seen any sparrows today"
890,"چٚسک","هرچي بۊگؤفتم تۊنم بيأ، بۊگؤفت چٚسک","No","Whatever I said you come too, he/she said no"
891,"چٚلک","چرک","Dirty","Wash your dirty shirt"
892,"چکˇ پر","سينه-آبأ نأنستي هأچين چکˇ پر زئي","Paddle","He/She didn't know how to swim he/she was paddling aimlessly"
893,"چکستن","ايسپندأ فأندر چۊتؤ چکستن دره","The Jumping Of Peganum harmala While Burning","Look at the Peganum harmala how it jumps"
894,"چۊ","خؤشکˇ چۊ هيمه ره خؤبه","Wood","Dry woods are good for firewoods"
895,"چۊب","چۊب خۊري-يأ","Beaten","You'll get beaten up"
896,"چۊتؤ","أن چۊتؤ کار کۊنه؟","How","How does this work?"
897,"چۊل","تي کفشأ چۊل بۊکۊدي","mud","You made your shoes muddy"
898,"چۊله","ايتأ کيبريت چۊله مرأ فأدن","Match (For Fire)","Give me a match"
899,"چۊم","مي چۊم نيدينه","Eye","My eye doesn't see"
900,"چۊم برا","چۊم برا بؤم أکه أیه","Waited","I was waited for him/her to come"
901,"چۊم دکف","أ خانه چۊم دکف بد ني-يه","View","The view of this house is not bad"
902,"چۊمليز","مرأ چۊمليز بيگيفته","Pinch","He/She pinched me"
903,"کأشکأرأت","ايتأ کأشکأرأت دار ٚ جؤر نیشته","Magpie","A magpie is sitting on the tree"
904,"کؤتر","کؤترانأ سرأدن","Pigeon","Release the pigeons"
905,"کؤر","اۊ کؤرأ فأندر","Girl","Look at that girl"
906,"کؤرأ","کؤرأ بيشيم؟","Which Direction","Which direction do we go?"
907,"کؤل","بنأ خۊ کؤل ٚ سر","Shoulder","He/She put it on his/her shoulder"
908,"کؤل","أ چاقۊ کؤله","Dull","This knife is dull"
909,"کؤيأ","مي شارژر کؤيأ نهأ؟","Where","Where is my charger?"
910,"کؤيأن","اۊشانأ کؤيأن بيدئي؟","Where (places)","Where have you seen them?"
911,"کؤيتأ","کؤيتأ دسکش تي شين ايسه؟","Which One","Which one is your glove?"
